Time_of_activity_UK Time,command
0:30,ls -lrt PPSPHC*
0:30,ls -lrt PPSPH7*
0:35,ls -lrt PMDPCL*
1:00,ls -lrt PPRPAL*
1:00,ls -lrt PRCPSC*
1:00,ls -lrt PPSPIN*
1:00,ls -lrt PPSPSP*
1:00,ls -lrt PCMPMA*
1:00,ls -lrt PPSPLU*
1:00,ls -lrt PPSPLU*
1:10,ls -lrt PPSPNX*
1:30,ls -lrt PRCPSC*
1:30,ls -lrt PPSPIN*
1:30,ls -lrt PPSPSP*
1:30,ls -lrt PPSPHA*
1:30,ls -lrt PPSPH7*
1:40,ls -lrt PCMPCD*
2:00,ls -lrt PPRPAL*
2:00,ls -lrt PCMPCD*
2:00,ls -lrt PRCPSC*
2:00,ls -lrt PPSPIN*
2:00,ls -lrt PPSPSP*
2:00,ls -lrt PCMPMA*
2:00,ls -lrt PPSPLU*
2:00,ls -lrt PPSPNX*
2:00,ls -lrt PPSPNF*
2:15,ls -lrt PCOPE8*
2:30,ls -lrt PRCPSC*
2:30,ls -lrt PPSPIN*
2:30,ls -lrt PPSPSP*
3:00,ls -lrt PPRPAL*
3:00,ls -lrt PRCPSC*
3:00,ls -lrt PPSPIN*
3:00,ls -lrt PPSPSP*
3:00,ls -lrt PCMPMA*
3:00,ls -lrt PPSPLU*
3:00,ls -lrt PPSPNX*
3:15,ls -lrt PCOPE8*
3:30,ls -lrt PPSPHA*
3:30,ls -lrt PPSPHC*
3:30,ls -lrt PPSPH7*
3:30,ls -lrt PRCPSC*
3:30,ls -lrt PPSPIN*
3:30,ls -lrt PPSPSP*
3:30,ls -lrt PCMPMA*
3:45,ls -lrt PCMPMA*
3:45,ls -lrt PPSPNF*
3:45,ls -lrt PCMPCD*
4:00,ls -lrt PPRPAL*
4:00,ls -lrt PRCPSC*
4:00,ls -lrt PPSPIN*
4:00,ls -lrt PPSPSP*
4:00,ls -lrt PCMPMA*
4:00,ls -lrt PCMPCD*
4:00,ls -lrt PPSPLU*
4:15,ls -lrt PPSPSP*
4:15,ls -lrt PCMPMA*
4:15,ls -lrt PCOPE8*
4:30,ls -lrt PPRPAL*
4:30,ls -lrt PRCPSC*
4:30,ls -lrt PPSPIN*
4:30,ls -lrt PPSPSP*
4:30,ls -lrt PCMPMA*
4:45,ls -lrt PCMPMA*
5:00,ls -lrt PPRPAL*
5:00,ls -lrt PRCPSC*
5:00,ls -lrt PPSPIN*
5:00,ls -lrt PPSPSP*
5:00,ls -lrt PCMPMA*
5:15,ls -lrt PCOPE8*
5:15,ls -lrt PPSPSP*
5:15,ls -lrt PCMPMA*
5:30,ls -lrt PRCPSC*
5:30,ls -lrt PPSPIN*
5:30,ls -lrt PPSPSP*
